name,minutes,points,reb,asts,stl,blk
Kareem,57446,38387,17440,5660,1160,3189
Mahmo,15633,8553,1087,2079,487,46
Tariq,4808,1830,776,266,184,82
Shareef,28883,15028,6239,2109,820,638
Tom,5434,1779,1011,384,185,60
Forest,1,0,1,1,0,0
John,0,533,0,37,0,0
Alex,234,81,29,16,6,4
Donald,220,43,15,23,0,0
Mark,5982,1343,1525,180,137,104
Charles,195,77,47,11,0,0
Alvan,27203,13910,6937,4012,1289,808
Don,13132,4497,2848,957,321,62
Don,342,101,68,54,13,2
George,3903,1652,873,317,88,59
Hassan,549,185,84,14,18,5
Michael,20446,9621,1900,4209,1081,67
Rafael,5697,2186,777,339,148,83
Rick,10427,3579,1129,1606,106,9
Arron,2211,639,271,96,59,21
Maurice,469,154,44,18,5,6
Mark,27730,18458,4578,2871,687,296
Blake,177,73,16,17,7,0
Danny,27755,11964,2768,4199,1133,132
Matt,637,252,160,18,0,0
Alexis,181,70,30,3,7,6
Henry,25,4,4,1,0,0
Henry,712,304,177,39,0,0
Mark,5500,2432,1120,363,132,109
Gary,844,261,329,24,0,0
LaMarcus,7048,3385,1490,303,154,244
Chuck,1114,377,270,36,15,15
Cory,4842,1677,481,834,263,37
Courtney,4069,1690,409,227,111,18
Gary,55,19,15,2,3,0
Joe,717,278,115,42,15,29
Victor,5756,2542,1384,257,135,177
Steve,1641,744,144,176,85,10
Bill,857,300,269,23,0,0
Bob,232,48,56,10,0,0
Jerome,362,108,25,49,21,5
Lucius,20159,9407,2205,3174,604,124
Malik,6627,2206,1239,208,118,211
Randy,789,252,145,23,17,20
Ray,35095,19661,4180,3544,1139,172
Tony,5311,2093,728,367,292,98
Willie,30,13,14,4,0,0
Odis,166,67,45,10,0,0
Lance,10,3,1,0,0,0
Darrell,276,59,65,25,5,8
Morris,297,105,38,10,5,4
Derrick,2658,751,525,94,95,87
Rafer,17968,6369,1762,3026,763,95
Peter,5,2,2,0,1,1
John,4814,1837,772,228,90,94
Ashraf,1248,379,355,36,29,13
Louis,1194,355,310,29,34,74
Alan,819,305,102,53,18,4
Andy,4786,2081,527,327,0,0
Bob,373,133,69,29,0,0
Cadillac,14040,4953,4246,385,480,590
Chris,5693,1752,1664,182,134,522
Cliff,22,6,4,4,0,0
Cliff,581,247,103,68,0,0
Danw,4025,1707,1316,158,0,0
Daniel,1067,347,91,166,36,3
